Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Elevator,Janitor,Parking-Space,Closing-Date,Price,Bedroom,Living Room,Bathroom
120.96679085675254,24.81992697215807,29,41.61,華廈(10層含以下有電梯),住家用,四層/七層,有,有,1,112/08/19,"11,000,000",0,0,0
121.01459813578164,24.79257323470499,3,53.15,住宅大樓(11層含以上有電梯),住家用,十六層/二十一層,有,有,1,112/08/14,"26,600,000",3,2,2
120.98990123805348,24.801575143594413,7,55.01,住宅大樓(11層含以上有電梯),住家用,十一層/十二層,有,有,1,112/08/10,"28,280,000",4,2,2
120.93259205731428,24.838965774314328,15,40.57,住宅大樓(11層含以上有電梯),住家用,九層/十四層,有,有,1,112/08/17,"9,820,000",3,2,2
120.93576821244234,24.83862408779516,18,70.13,透天厝,住商用,全/五層,無,無,0,112/08/05,"17,300,000",4,3,4
120.98056228517484,24.8131308484716,21,43.03,住宅大樓(11層含以上有電梯),住家用,九層/十三層,有,有,0,112/08/13,"13,680,000",4,2,2
121.01189803968404,24.79221233050372,8,83.76,住宅大樓(11層含以上有電梯),住家用,四層/二十八層,有,有,2,112/08/12,"39,200,000",4,2,2
120.95537820187312,24.81072384446168,32,21.06,住宅大樓(11層含以上有電梯),商業用,九層/十二層,有,有,0,112/08/18,"6,000,000",1,1,1
120.98251114574674,24.81211086212681,35,32.99,公寓(5樓含以下無電梯),住家用,一層/五層,無,無,0,112/08/09,"5,000,000",3,2,2
120.9776431121224,24.76376185959072,25,37.33,公寓(5樓含以下無電梯),住家用,五層/五層,無,無,1,112/08/11,"5,000,000",2,2,1
121.01638721793164,24.784438246693217,14,46.98,住宅大樓(11層含以上有電梯),辦公用,五層/十五層,有,有,1,112/08/24,"23,680,000",3,2,2
120.95582572830943,24.803961546515872,17,45.18,住宅大樓(11層含以上有電梯),住家用,八層/十三層,有,有,1,112/08/23,"16,000,000",3,2,2
120.9672058047868,24.821967517354917,25,47.53,住宅大樓(11層含以上有電梯),住家用,十九層/二十一層,有,有,1,112/08/08,"13,000,000",3,2,2
120.98901112155824,24.800690273345868,31,7.91,華廈(10層含以下有電梯),住家用,五層/七層,有,有,0,112/08/22,"3,700,000",0,0,0
120.95309619892636,24.80275991006005,14,55.51,住宅大樓(11層含以上有電梯),住家用,十一層/十四層,有,有,1,112/08/11,"15,000,000",3,2,2
120.96821699893532,24.813571138561315,24,52.35,住宅大樓(11層含以上有電梯),商業用,七層/十二層,有,有,0,112/08/16,"9,950,000",0,0,0
120.97405258181394,24.81692187169241,30,23.77,華廈(10層含以下有電梯),住家用,七層/九層,有,有,1,112/08/12,"4,900,000",1,1,1
