Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Layout,Elevator,Janitor,Parking-Space,Closing-Date,Price
121.00969184535373,24.783770702269464,35,45.62,透天厝,住家用,全/二層,6房3廳3衛,無,無,0,112/09/18,"20,000,000"
120.95207024816217,24.795663098145745,28,35.62,華廈(10層含以下有電梯),住家用,二層/七層,3房2廳2衛,有,有,1,112/09/20,"9,550,000"
121.00789236757767,24.790668689162374,29,37.01,華廈(10層含以下有電梯),住家用,二層/六層,3房2廳2衛,有,有,1,112/09/07,"12,700,000"
120.97129691019103,24.79837660176166,29,25.24,華廈(10層含以下有電梯),住家用,六層/十層,2房1廳1衛,有,有,0,112/09/02,"6,500,000"
120.9281216792871,24.83599330168577,6,55.45,透天厝,住商用,全/三層,3房3廳4衛,無,無,0,112/09/14,"17,700,000"
120.95169139809191,24.80342757563604,45,37.64,透天厝,住商用,全/二層,6房2廳4衛,無,無,0,112/09/20,"15,200,000"
121.016396923727,24.783038802740176,40,30.98,公寓(5樓含以下無電梯),住家用,五層/五層,3房2廳2衛,無,有,0,112/08/27,"6,800,000"
121.02748217586807,24.778649256761103,25,10.21,華廈(10層含以下有電梯),住家用,三層/五層,1房1衛,有,有,0,112/08/24,"2,600,000"
120.96362799893721,24.81052745573664,32,10.42,華廈(10層含以下有電梯),住家用,四層/五層,1房1廳1衛,有,無,0,112/08/28,"4,200,000"
120.92072821222138,24.809328126770424,42,29.54,透天厝,住家用,全/二層,1廳2衛,無,無,0,112/08/19,"6,270,000"
120.9763875674727,24.814755399482,27,28.13,住宅大樓(11層含以上有電梯),住家用,十八層/二十層,2房2廳1衛,有,有,0,112/08/26,"7,750,000"
120.96569372104872,24.81654100184309,25,47.84,華廈(10層含以下有電梯),住家用,五層/十層,3房2廳2衛,有,有,1,112/08/17,"13,000,000"
121.00901026500098,24.794912084654595,28,31.31,華廈(10層含以下有電梯),住家用,八層/八層,2房2廳1衛,有,有,1,112/08/20,"12,500,000"
120.97091816614373,24.810781846342685,40,24.49,公寓(5樓含以下無電梯),住家用,二層/四層,3房2廳2衛,無,無,0,112/08/12,"7,500,000"
120.96814158748688,24.79899894605712,30,31.29,華廈(10層含以下有電梯),住家用,六層/九層,3房2廳2衛,有,無,0,112/08/14,"6,680,000"
120.96362799893721,24.81052745573664,32,10.42,華廈(10層含以下有電梯),住家用,三層/五層,1房1廳1衛,有,無,0,112/08/23,"4,180,000"
121.02610724790242,24.777096567782536,24,80.94,透天厝,住家用,全/四層,32房32衛,有,無,0,112/08/13,"39,900,000"
121.01109676978699,24.790469863854362,9,52.84,住宅大樓(11層含以上有電梯),住家用,十四層/二十五層,4房1廳2衛,有,有,1,112/08/26,"27,500,000"
