Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,15435.379883,15951.799805,15186.740234,15868.059570,15868.059570,67371300
2023-04-01,15838.070313,15973.820313,15284.459961,15579.179688,15579.179688,51398900
2023-05-01,15588.679688,16683.759766,15424.419922,16578.960938,16578.960938,68595500
2023-06-01,16511.000000,17346.320313,16477.429688,16915.539063,16915.539063,82322300
2023-07-01,16915.539063,17463.759766,16593.839844,17145.429688,17145.429688,90902100
2023-08-01,17141.970703,17252.320313,16264.650391,16634.509766,16634.509766,76128500
2023-09-01,16640.919922,16920.919922,16202.429688,16353.740234,16353.740234,55430900
2023-10-01,16382.959961,16825.910156,15975.910156,16001.269531,16001.269531,54848900
2023-11-01,16027.719727,17441.789063,15978.259766,17433.849609,17433.849609,65828300
2023-12-01,17422.349609,17743.539063,17252.570313,17596.630859,17596.630859,59439200
2023-12-22,17586.160156,17618.169922,17567.550781,17596.630859,17596.630859,0
