AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
住,,水田街１５０巷０１２弄００２５號#水田街１５０巷１２弄２５號,透天厝,,,O,,,112/09/13,無,,全/二層,,52,33,1,1,0,24.814781085852196,120.96875086355446,無,,總價/總面積,其他增建;,,bt_02.png,住家用,1,9,,7.83,04jwHZmx+E5igpKK/ooIivPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"1,800,000",1,O01,Biz,2,3房2廳2衛
住,,牛埔路１２０巷０１７弄０００８號十二樓之１#牛埔路１２０巷１７弄８號十二樓之１,住宅大樓(11層含以上有電梯),,41.03%,O,,,112/09/01,有,59.16%,十二層/十二層,,4,34,1,1,2,24.800475578841414,120.95279043850091,有,,總價/總面積,,"289,190",bt_05.png,住家用,1,41,,58.78,xOu0g1/9Jk/RiqjMBW8QDfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"17,000,000",1,O01,Biz,2,3房2廳2衛
住,,田美三街０２２巷０２１弄００３５號#田美三街２２巷２１弄３５號,透天厝,,,O,,,112/09/01,有,,全/五層,,16,35,1,1,3,24.816543350031335,120.97821729255145,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住家用,1,10,,57.72,4eg1qMP+0e7wZp8AxhUDnvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"13,972,000",1,O01,Biz,2,6房2廳8衛
商,,中華路三段００１０號９樓之９#中華路三段１０號９樓之９,住宅大樓(11層含以上有電梯),,66.79%,O,,,112/09/08,有,,九層/十四層,,23,36,1,1,0,24.797336524724813,120.96311753023052,有,,總價/總面積,,"313,560",bt_05.png,住家用,1,45,,13.04,eCTxeUPRn/fTYNLe4RNtXvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"4,090,000",1,O01,Biz,2,1房1廳1衛
住,,東大路四段０１０８號４樓#東大路四段１０８號４樓,華廈(10層含以下有電梯),,69.49%,O,,,112/09/15,有,,四層/五層,,28,37,1,1,0,24.842803425810924,120.9337377198115,有,,總價/總面積,法定空地增建其他增建;,"163,666",bt_06.png,住家用,1,13,,35.44,bBi9r4TP2M1j784b6cYBrPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,800,000",1,O01,Biz,2,6房1廳6衛
住,,埔頂路１００巷０５７弄００４６號#埔頂路１００巷５７弄４６號,透天厝,,,O,,,112/09/13,無,,全/二層,,47,38,1,1,0,24.7930700971635,121.01130469899294,無,,總價/總面積,頂樓加蓋;其他增建;,,bt_02.png,住家用,1,9,,20.83,sz/WQhRMSOG9E2mA3rN7ivPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"13,000,000",1,O01,Biz,2,5房2廳1衛
,丙種建築用地,五福路一段５５０巷００１８號#五福路一段５５０巷１８號,透天厝,,,O,,,112/09/10,無,,全/四層,,29,39,4,1,0,24.745529101415347,120.93398711191385,有,,總價/總面積,,,bt_02.png,住家用,1,48,,55.53,aPGzwalDRQb/jZ5toYniy/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,800,000",1,O01,Biz,2,5房2廳3衛
其他,,光華二街０８１巷０１０弄００５７號#光華二街８１巷１０弄５７號,華廈(10層含以下有電梯),,40.32%,O,,,112/09/13,有,,一層/八層,,30,40,2,1,1,24.82093091844616,120.97609951202911,有,,總價/總面積,其他增建;,"167,524",bt_06.png,住家用,1,48,,40.47,lPLo7QQZj4yWbNhQH2u1xfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,780,000",1,O01,Biz,2,2房2廳1衛
商,,四維路０８９巷０００２之１號２樓#四維路８９巷２之１號２樓,住宅大樓(11層含以上有電梯),,62.97%,O,,,112/09/03,有,,二層/十四層,,26,41,2,1,2,24.80097437038492,120.96042610196241,有,,總價/總面積,,"144,962",bt_05.png,商辦用,1,35,,103.48,pZmAaZHFR/62EBdjxS14aPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"15,000,000",1,O01,Biz,2,1廳1衛
商,,四維路００９１號２樓#四維路９１號２樓,住宅大樓(11層含以上有電梯),,77.42%,O,,,112/09/03,有,,二層/十四層,,26,42,2,1,0,24.80097437038492,120.96042610196241,有,,總價/總面積,,"136,982",bt_05.png,商辦用,1,35,,182.50,CfeLksVgieWNE1G0g+Y8JPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"25,000,000",1,O01,Biz,2,1廳1衛
住,,天府路一段０１６０號十一樓之１#天府路一段１６０號十一樓之１,住宅大樓(11層含以上有電梯),,42.44%,O,,,112/09/19,有,62.05%,十一層/十五層,,2,43,1,1,2,24.835105831006214,120.94287371078313,有,,總價/總面積,,"261,240",bt_05.png,住家用,1,55,,66.99,HT57wPTlEWV2C+4PmyRSpvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"17,500,000",1,O01,Biz,2,3房2廳2衛
其他,,湳雅街２１８巷００１８號４樓#湳雅街２１８巷１８號４樓,華廈(10層含以下有電梯),,61.38%,O,,,112/09/17,有,,四層/五層,,28,44,1,1,1,24.821490666216526,120.97599058569892,有,,總價/總面積,,"278,833",bt_06.png,住家用,1,40,,43.75,dposvWa6t6GeRz+rkE3qZPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"12,200,000",1,O01,Biz,2,2房2廳1衛
商,,中華路一段０２８９號十樓之２#中華路一段２８９號十樓之２,住宅大樓(11層含以上有電梯),,46.49%,O,,,112/09/22,有,,十層/十五層,,10,45,1,1,2,24.809899149292992,120.98536026865123,有,,總價/總面積,陽台外推;,"422,512",bt_05.png,住家用,1,78,,69.70,s4CW5mjKJ0cWMGADJVAr8fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"29,450,000",1,O01,Biz,2,3房2廳2衛
住,,榮濱南路０３６８號三樓#榮濱南路３６８號三樓,住宅大樓(11層含以上有電梯),,44.26%,O,,,112/09/13,有,60.27%,三層/十五層,,5,46,1,1,1,24.838449678831175,120.92939658337735,有,,總價/總面積,,"288,998",bt_05.png,住家用,1,57,,32.18,G+/egnSpWlUh82dkFpcS9fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,300,000",1,O01,Biz,2,2房1廳1衛
商,,榮濱路０１９巷００２７號五樓之２#榮濱路１９巷２７號五樓之２,華廈(10層含以下有電梯),,55.22%,O,,,112/09/28,有,,五層/十層,,5,47,1,1,0,24.84053503192956,120.92888090518457,有,,總價/總面積,,"325,088",bt_06.png,住家用,1,25,,25.69,s8mg4lh0DiCsGiorxlHp+/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,350,000",1,O01,Biz,2,2房2廳1衛
住,,武陵路１７５巷０００６號８樓之３#武陵路１７５巷６號８樓之３,住宅大樓(11層含以上有電梯),,52.59%,O,,,112/09/24,有,,八層/二十一層,,25,48,1,1,1,24.822283599847616,120.96759153658277,有,,總價/總面積,陽台外推;,"269,769",bt_05.png,住家用,1,124,,58.05,ao7/30O5YizRIxQLAlQ0m/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"15,660,000",1,O01,Biz,2,3房2廳2衛
