longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
120.9843708,24.81248124,10,43.51,1,1,1,112,2,2,2,1,0,0,0,1,0,0,0,7,14,22200000
120.9785746,24.80948303,42,31.26,0,0,0,112,3,2,1,1,1,0,0,0,0,0,0,4,5,9800000
120.9617985,24.80884767,15,13.52,1,1,1,112,1,1,1,0,0,0,1,0,0,0,0,5,10,5800000
121.0103343,24.77960846,36,42.55,0,0,0,112,4,2,3,1,0,1,0,0,1,0,0,0,2,22000000
120.9765392,24.79751077,36,32,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,5,5,7600000
120.9283016,24.83288755,10,64.11,0,0,0,112,3,3,3,0,0,1,0,0,1,0,0,0,4,10500000
120.919434,24.80688971,42,67.63,0,0,0,112,4,1,2,1,0,1,0,0,1,0,0,0,3,16000000
120.9657712,24.82250892,1,54.88,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,15,21,23600000
120.9624724,24.77173112,25,51.78,0,1,0,112,5,2,3,1,0,1,0,0,1,0,0,0,3,16000000
120.984788,24.79808064,25,26.76,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,3,5,5000000
120.9777221,24.81980259,32,11.41,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,3,5,3020000
120.9778752,24.79306889,50,26.47,0,0,0,112,4,2,2,1,0,1,0,0,1,0,0,0,2,8500000
121.0145981,24.79257323,3,50.42,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,15,21,25500000
121.0096918,24.7837707,35,45.62,0,0,0,112,6,3,3,1,0,1,0,0,1,0,0,0,2,20000000
120.9520702,24.7956631,28,35.62,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,2,7,9550000
120.9301568,24.8414114,8,33.9,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,2,5,10650000
121.0078924,24.79066869,29,37.01,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,2,6,12700000
121.0257613,24.77816201,25,65.47,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,14,16,22880000
120.9712969,24.7983766,29,25.24,1,1,0,112,2,1,1,1,0,0,1,0,0,0,0,6,10,6500000
121.0198789,24.78852779,14,46.83,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,10,11,26800000
120.9281217,24.8359933,6,55.45,0,0,0,112,3,3,4,0,0,1,0,0,1,0,0,0,3,17700000
120.9718662,24.81772502,25,13.29,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,3,7,3500000
120.9516914,24.80342758,45,37.64,0,0,0,112,6,2,4,0,0,1,0,0,1,0,0,0,2,15200000
120.9859175,24.78070964,44,30.63,0,0,0,112,4,2,3,1,0,1,0,0,1,0,0,0,2,7000000
121.0186416,24.78163007,16,25.32,1,1,1,112,1,1,1,1,0,0,0,1,0,0,0,1,12,10780000
121.0145981,24.79257323,3,51.82,1,1,1,112,2,2,2,1,0,0,0,1,0,0,0,15,21,27250000
120.9305216,24.84370483,8,45.5,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,8,14,11300000
120.9775144,24.76476401,29,11.91,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,5,7,2700000
120.9686818,24.81412199,27,16.07,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,8,12,4600000
121.0268982,24.77650055,23,71.14,0,0,0,112,6,2,4,1,0,1,0,0,1,0,0,0,4,21600000
120.9675915,24.8222836,25,21.59,1,1,0,112,2,1,1,1,0,0,0,1,0,0,0,3,21,7250000
120.978653,24.81368134,30,8.53,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,5,7,3300000
120.9297217,24.78825982,16,7.97,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,5,6,1450000
120.9760995,24.82093092,30,44.99,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,4,8,11500000
120.965052,24.81200848,26,8.58,1,1,0,112,0,0,0,0,0,0,0,1,0,0,0,12,12,2150000
120.9503751,24.75566561,25,9.62,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,10,10,1100000
120.9615782,24.81757829,24,28.74,1,0,0,112,3,2,2,1,0,0,1,0,0,0,0,5,5,7300000
